timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.000,0.000,-20.000,60.000,0.000,0.000
0.033,-5.000,-20.000,60.000,0.000,0.000
0.067,-10.000,-20.000,60.000,0.000,0.000
0.100,-15.000,-20.000,60.000,0.000,0.000
0.133,-20.000,-20.000,60.000,0.000,0.000
0.167,-25.000,-20.000,60.000,0.000,0.000
0.200,-30.000,-20.000,60.000,0.000,0.000
0.233,-30.000,-20.000,60.000,0.000,0.000
0.267,-30.000,-20.000,60.000,0.000,0.000
0.300,-30.000,-20.000,60.000,0.000,0.000
0.333,-25.000,-20.000,60.000,0.000,0.000
0.367,-20.000,-20.000,60.000,0.000,0.000
0.400,-15.000,-20.000,60.000,0.000,0.000
0.433,-10.000,-20.000,60.000,0.000,0.000
0.467,-5.000,-20.000,60.000,0.000,0.000
0.500,0.000,-20.000,60.000,0.000,0.000
0.533,5.000,-20.000,60.000,0.000,0.000
0.567,10.000,-20.000,60.000,0.000,0.000
0.600,15.000,-20.000,60.000,0.000,0.000
0.633,20.000,-20.000,60.000,0.000,0.000
0.667,25.000,-20.000,60.000,0.000,0.000
0.700,30.000,-20.000,60.000,0.000,0.000
0.733,30.000,-20.000,60.000,0.000,0.000
0.767,30.000,-20.000,60.000,0.000,0.000
0.800,30.000,-20.000,60.000,0.000,0.000
0.833,25.000,-20.000,60.000,0.000,0.000
0.867,20.000,-20.000,60.000,0.000,0.000
0.900,15.000,-20.000,60.000,0.000,0.000
0.933,10.000,-20.000,60.000,0.000,0.000
0.967,5.000,-20.000,60.000,0.000,0.000
1.000,0.000,-20.000,60.000,0.000,0.000
