timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.000,0.000,-20.000,60.000,0.000,0.000
0.033,0.000,-18.000,58.000,0.000,0.000
0.067,0.000,-16.000,56.000,0.000,0.000
0.100,0.000,-14.000,54.000,0.000,0.000
0.133,0.000,-12.000,52.000,0.000,0.000
0.167,0.000,-10.000,50.000,0.000,0.000
0.200,0.000,-8.000,48.000,0.000,0.000
0.233,0.000,-6.000,46.000,0.000,0.000
0.267,0.000,-4.000,44.000,0.000,0.000
0.300,0.000,-2.000,42.000,0.000,0.000
0.333,0.000,0.000,40.000,0.000,0.000
0.367,0.000,-2.000,42.000,0.000,0.000
0.400,0.000,-4.000,44.000,0.000,0.000
0.433,0.000,-6.000,46.000,0.000,0.000
0.467,0.000,-8.000,48.000,0.000,0.000
0.500,0.000,-10.000,50.000,0.000,0.000
0.533,0.000,-12.000,52.000,0.000,0.000
0.567,0.000,-14.000,54.000,0.000,0.000
0.600,0.000,-16.000,56.000,0.000,0.000
0.633,0.000,-18.000,58.000,0.000,0.000
0.667,0.000,-20.000,60.000,0.000,0.000
0.700,0.000,-22.000,62.000,0.000,0.000
0.733,0.000,-24.000,64.000,0.000,0.000
0.767,0.000,-26.000,66.000,0.000,0.000
0.800,0.000,-28.000,68.000,0.000,0.000
0.833,0.000,-30.000,70.000,0.000,0.000
0.867,0.000,-28.000,68.000,0.000,0.000
0.900,0.000,-26.000,66.000,0.000,0.000
0.933,0.000,-24.000,64.000,0.000,0.000
0.967,0.000,-22.000,62.000,0.000,0.000
1.000,0.000,-20.000,60.000,0.000,0.000
