timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.000,0.000,-20.000,60.000,0.000,0.000
0.033,2.000,-18.000,58.000,2.000,0.000
0.067,4.000,-16.000,56.000,4.000,0.000
0.100,6.000,-14.000,54.000,6.000,0.000
0.133,8.000,-12.000,52.000,8.000,0.000
0.167,10.000,-10.000,50.000,10.000,0.000
0.200,12.000,-8.000,48.000,12.000,0.000
0.233,14.000,-6.000,46.000,14.000,0.000
0.267,12.000,-4.000,44.000,12.000,0.000
0.300,10.000,-2.000,42.000,10.000,0.000
0.333,8.000,0.000,40.000,8.000,0.000
0.367,6.000,-2.000,42.000,6.000,0.000
0.400,4.000,-4.000,44.000,4.000,0.000
0.433,2.000,-6.000,46.000,2.000,0.000
0.467,0.000,-8.000,48.000,0.000,0.000
0.500,-2.000,-10.000,50.000,-2.000,0.000
0.533,-4.000,-12.000,52.000,-4.000,0.000
0.567,-6.000,-14.000,54.000,-6.000,0.000
0.600,-8.000,-16.000,56.000,-8.000,0.000
0.633,-10.000,-18.000,58.000,-10.000,0.000
0.667,-8.000,-16.000,56.000,-8.000,0.000
0.700,-6.000,-14.000,54.000,-6.000,0.000
0.733,-4.000,-12.000,52.000,-4.000,0.000
0.767,-2.000,-10.000,50.000,-2.000,0.000
0.800,0.000,-12.000,52.000,0.000,0.000
0.833,2.000,-14.000,54.000,2.000,0.000
0.867,4.000,-16.000,56.000,4.000,0.000
0.900,2.000,-18.000,58.000,2.000,0.000
0.933,0.000,-20.000,60.000,0.000,0.000
